Analysis,Metric,Value,Detail
"Category Performance",Electronics,6791055.00,"Orders: 580 | Profit: 1663315.54 | Margin: 24.49% | Avg Discount: 9.59%"
"Category Performance",Furniture,1311420.00,"Orders: 352 | Profit: 327888.20 | Margin: 25.00% | Avg Discount: 10.13%"
"Category Performance","Office Supplies",586910.00,"Orders: 166 | Profit: 156118.94 | Margin: 26.60% | Avg Discount: 9.40%"
"Category Performance","Home Appliances",124101.00,"Orders: 166 | Profit: 32167.16 | Margin: 25.92% | Avg Discount: 9.40%"
"Category Performance",Groceries,98574.00,"Orders: 206 | Profit: 25284.48 | Margin: 25.65% | Avg Discount: 9.64%"
"Customer Concentration","Top 10 Customer Revenue",6804972.50,"Share of Customer Revenue: 76.36%"
"Customer Performance","Efua Osei",840165.50,"Orders: 122 | AOV: 6886.60 | Customer Rank: #1"
"Customer Performance","Ama Owusu",795602.50,"Orders: 110 | AOV: 7232.75 | Customer Rank: #2"
"Customer Performance","Priscilla Darko",691811.50,"Orders: 115 | AOV: 6015.75 | Customer Rank: #3"
"Customer Performance","Kojo Antwi",688638.00,"Orders: 107 | AOV: 6435.87 | Customer Rank: #4"
"Customer Performance","Akosua Boateng",674408.00,"Orders: 103 | AOV: 6547.65 | Customer Rank: #5"
"Customer Performance","Samuel Tetteh",661053.50,"Orders: 107 | AOV: 6178.07 | Customer Rank: #6"
"Customer Performance","Yaw Adu",649567.00,"Orders: 88 | AOV: 7381.44 | Customer Rank: #7"
"Customer Performance","Abena Arthur",631462.50,"Orders: 104 | AOV: 6071.75 | Customer Rank: #8"
"Customer Performance","Nana Yeboah",598881.00,"Orders: 125 | AOV: 4791.05 | Customer Rank: #9"
"Customer Performance","Kofi Asare",573383.00,"Orders: 104 | AOV: 5513.30 | Customer Rank: #10"
"Data Quality","Negative Revenue Transactions",14.00,"Transactions with Revenue below zero"
"Data Quality","Negative Cost Transactions",14.00,"Transactions with Cost below zero"
"Data Quality","Negative Profit Transactions",14.00,"Transactions with Profit below zero"
KPI,"Total Revenue",8912060.00,NULL
KPI,"Total Profit",2204774.32,NULL
KPI,"Total Units Sold",6495.00,NULL
KPI,"Average Order Value",6062.63,NULL
KPI,"Total Orders",1470.00,NULL
